scientific_name,common_name,description,image_url
Adiantum peruvianum,Silver-Dollar Fern,"Adiantum peruvianum, the Peruvian maidenhair fern, has large, lacy, bright-green fronds with dark, wiry stems. It forms graceful clumps and prefers humid, shaded spots with evenly moist, well-draining soil—perfect for bathrooms, terrariums, or shady indoor corners.",
Adiantum raddianum,Maidenhair Fern,"Adiantum raddianum, the maidenhair fern, has delicate fan-shaped green leaflets on thin dark wiry stems. It prefers shady, humid spots and evenly moist soil. Popular as a houseplant or in shaded gardens, it adds a soft, airy texture to damp areas.",
Adiantum ternerum 'Scutum Roseum',Rosy Maidenhair Fern,"Adiantum tenerum 'Scutum Roseum' is a delicate maidenhair fern with lacy, fan-shaped fronds and soft rose-pink new growth. It thrives in bright, indirect light, consistently moist, humus-rich soil and humid, sheltered spots—ideal for shaded gardens or indoor fern displays.",
Adiantum trapeziforme,Diamond Maidenhair Fern,"Adiantum trapeziforme is a delicate maidenhair fern with small triangular to trapezoid glossy light-green leaflets on thin dark wiry stems. It forms graceful low clumps and prefers moist, shady spots like forest floors, rock crevices, and tree bases.",
Aechmea 'Better than Bert',Living Vase Bromeliad,"Aechmea 'Better than Bert' is a striking bromeliad with a rosette of glossy green leaves and a bright, long-lasting pink and red central flower spike. It’s easy to care for: bright, indirect light, a partly filled central cup, and moderate watering.",
Aechmea 'Black Panther',Living Vase Bromeliad,"Aechmea 'Black Panther' is a striking bromeliad with a compact rosette of glossy, nearly black to deep burgundy leaves and a long-lasting pink-red central flower spike. Easy-care houseplant — prefers bright, indirect light, regular misting and moderate humidity.",
Aechmea 'Blue Tango',Living Vase,"Aechmea 'Blue Tango' is a striking bromeliad with a rosette of stiff, arching leaves and a vivid blue flower spike. It holds water in a central cup, likes bright indirect light, is low-maintenance, and makes a dramatic indoor or tropical garden accent.",
Aechmea 'Buckwheat',Bromeliad,"Aechmea 'Buckwheat' is a compact bromeliad with a tight rosette of sturdy, strap-like leaves that form a water-holding cup. It produces a long-lasting central flower spike with colorful bracts, making it an easy, low-maintenance houseplant.",
Aechmea 'Del Mar',Living Vase,"Aechmea 'Del Mar' is a striking tropical bromeliad with stiff, arching green leaves and a dramatic, long-lasting central flower spike in pink and blue. Compact and low-maintenance, it prefers bright, indirect light, moderate humidity and an airy, well-draining potting mix.",
Aechmea 'Foster's Favorite',Bromeliad,"Aechmea 'Foster's Favorite' is a striking bromeliad forming a stiff rosette of arching green leaves edged with tiny teeth. From its center rises a long-lasting, brightly colored flower spike with bold bracts and tubular blooms — an eye-catching indoor or tropical accent.",
Aechmea blanchetiana,Bromeliad,"Aechmea blanchetiana is a striking bromeliad with stiff, arching leaves forming a water-holding cup. Leaves range from golden yellow to orange or pink and often have tiny teeth. It sends up a tall flower spike with bright bracts and long-lasting blooms.",
Aechmea chantinii,Amazonian Zebra Plant,"Aechmea chantinii, the zebra bromeliad, is a striking tropical plant with arching green leaves marked by dark horizontal bands, forming a spiky rosette. It produces tall red and purple flower spikes and prefers bright, indirect light, humidity, and well-draining soil.",
Aechmea fasciata,Silver Vase Plant,"Aechmea fasciata, the silver vase plant, is a striking bromeliad from Brazil. It forms a rosette of stiff, silver-striped leaves and a short pink flower spike. It prefers bright, indirect light, moderate humidity, and water in its central cup.",
Aechmea fulgens,Coralberry,"Aechmea fulgens is a striking Brazilian bromeliad with rosettes of stiff, arching green leaves and a bright red-orange, sword-like flower spike. It’s easy to grow as a potted or garden plant, tolerates bright light, and produces pups after flowering.",
Aechmea gamosepala 'Lucky Stripe',Variegated Matchstick Plant,"Aechmea gamosepala 'Lucky Stripe' is a compact, variegated bromeliad with green leaves streaked in cream and a central pinkish flower spike that shows bright blue blooms. It likes bright, indirect light, warm temperatures and moderate humidity—keep its central cup lightly filled.",
Aechmea gamosepala ,Matchstick Bromeliad,"Aechmea gamosepala, the matchstick bromeliad, is a small tropical plant from Brazil. It forms a rosette of stiff green leaves and produces a short, colorful spike of red bracts with bright blue flowers. It grows on trees or in pots and prefers bright, indirect light.",
Aechmea miniata ,Bromeliad,"Aechmea miniata is a tropical bromeliad with a rosette of stiff, arching green leaves and a bright red flower spike. It often grows on trees or the ground, holds water in its central cup, and prefers bright, indirect light and humid conditions.",
Alocasia baginda 'Silver Dragon',Silver Dragon Alocasia,"Alocasia baginda 'Silver Dragon' is a compact tropical houseplant with striking silvery-green, reptile-textured leaves and dark veins. It likes bright, indirect light, warm humidity, and moderate watering—allow the topsoil to dry slightly. Use well-draining potting mix.",
Alocasia baginda 'Dragon Scale',Dragon Scale Alocasia,"Alocasia baginda 'Dragon Scale' is a compact tropical houseplant with thick, silvery-green leaves that have deep dark veins and a scaly texture. It adds dramatic foliage to rooms and likes bright, indirect light, warm humidity, and moderate watering.",
Alocasia heterophylla 'Cory Aquino',Dwarf Elephant Ear,"Alocasia heterophylla 'Cory Aquino' is a compact, striking houseplant with glossy, arrow-shaped leaves that show deep lobes and bold veins. Its sculptural foliage brings tropical flair to indoors and it prefers bright, indirect light with evenly moist soil.",
Alocasia reginula 'Black Velvet',Black Velvet Alocasia,"Alocasia reginula 'Black Velvet' is a compact indoor plant with small, velvety near-black leaves and striking silvery veins. It likes bright, indirect light, high humidity, well-draining soil and careful watering to avoid root rot—perfect for shady, tropical-style spots.",
