scientific_name,common_name,description,image_url
Adiantum peruvianum,Silver-Dollar Fern,,
Adiantum raddianum,Maidenhair Fern,,
Adiantum ternerum 'Scutum Roseum',Rosy Maidenhair Fern,,
Adiantum trapeziforme,Diamond Maidenhair Fern,,
Aechmea 'Better than Bert',Living Vase Bromeliad,"Plant from Mitchell Park Domes collection. one is potted, easily transplanted",
Aechmea 'Black Panther',Living Vase Bromeliad,"Plant from Mitchell Park Domes collection. potted, easily transplanted",
Aechmea 'Blue Tango',Living Vase,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea 'Buckwheat',Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea 'Del Mar',Living Vase,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea 'Foster's Favorite',Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea blanchetiana,Bromeliad,,
Aechmea chantinii,Amazonian Zebra Plant,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea fasciata,Silver Vase Plant,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea fulgens,Coralberry,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea gamosepala 'Lucky Stripe',Variegated Matchstick Plant,"Plant from Mitchell Park Domes collection. potted, easily transplanted",
Aechmea gamosepala�,Matchstick Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Aechmea miniata�,Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Alocasia baginda 'Silver Dragon',Silver Dragon Alocasia,Plant from Mitchell Park Domes collection. relatively expensive,
Alocasia baginda 'Dragon Scale',Dragon Scale Alocasia,Plant from Mitchell Park Domes collection. relatively expensive,
Alocasia heterophylla 'Cory Aquino',Dwarf Elephant Ear,Plant from Mitchell Park Domes collection. rarely seen on the market,
Alocasia reginula 'Black Velvet',Black Velvet Alocasia,,
Alocasia zebrina,Tiger Elephant Ear,Plant from Mitchell Park Domes collection. threatened species,
Alpinia vittata,Variegated Ginger,,
Amorphophallus bulbifer,Voodoo Lily,Plant from Mitchell Park Domes collection. potted,
Amorphophallus konjac,Voodoo Lily,Plant from Mitchell Park Domes collection. a few are potted,
Amorphophallus titanum�,Titan Arum,"Plant from Mitchell Park Domes collection. potted, endangered, blooming size",
Anthurium 'Big Red Bird' x A. 'Round Wan',Anthurium,"Plant from Mitchell Park Domes collection. new hybrid, not readily available",
Anthurium andraeanum 'White Heart',Anthurium,,
Anthurium atropurpureum,Anthurium�,Plant from Mitchell Park Domes collection. rarely seen on the market,
Anthurium atropurpureum var. arenicola,Anthurium,Plant from Mitchell Park Domes collection. rarely seen on the market,
Anthurium clarinervium,Anthurium,,
Anthurium ensifolium,Anthurium,Plant from Mitchell Park Domes collection. rarely seen on the market,
Anthurium forgetii,Anthurium,Plant from Mitchell Park Domes collection. relatively expensive,
Anthurium gracile,Red Pearls Anthurium,Plant from Mitchell Park Domes collection. potted,
Anthurium grandifolium,Anthurium,"Plant from Mitchell Park Domes collection. potted, rarely seen on the market",
Anthurium hybrid,Red Anthurium,,
Anthurium magnificum,Anthurium,Plant from Mitchell Park Domes collection. relatively expensive,
Anthurium pedatoradiatum sub. helleborifolium,Anthurium,Plant from Mitchell Park Domes collection. rarely seen on the market,
Anthurium pentaphyllum,Anthurium,,
Anthurium podophyllum,Anthurium,"Plant from Mitchell Park Domes collection. ours are nice large plants, small if you purchase",
Anthurium veitchii,King Anthurium,"Plant from Mitchell Park Domes collection. potted, small if you purchase",
Anthurium vittarifolium,Strap-Leafed Anthurium,"Plant from Mitchell Park Domes collection. potted, small if you purchase",
Anthurium willdenowii,Anthurium,Plant from Mitchell Park Domes collection. rarely seen on the market,
Arachniodes simplicior 'Variegata',Variegated Leather Leaf Fern,,
Artocarpus altilis 'Ma afala',Breadfruit Tree,Plant from Mitchell Park Domes collection. one is potted,
Asparagus sp. �,Ming Fern,,
Aspidistra elatior 'Asahi',Morning Sun Cast Iron Plant,Plant from Mitchell Park Domes collection. extremely slow growing,
Aspidistra elatior 'Milky Way',Cast Iron Plant,,
Aspidistra elatior 'Variegata',Variegated Cast Iron Plant,Plant from Mitchell Park Domes collection. From Dan Heim's personal collection.� Rare.,
Begonia cleopatrae,Maple Leaf Begonia�,Plant from Mitchell Park Domes collection. potted,
Begonia x ricinifolia,Castor Bean Begonia,Plant from Mitchell Park Domes collection. potted,
Bignonia argyreoviolascens,Silvery Trumpet Vine,,
Billbergia 'Casablanca',Bromeliad,Plant from Mitchell Park Domes collection. potted,
Billbergia chlorostica,Rainbow Plant,Plant from Mitchell Park Domes collection. potted,
Billbergia nutans,Queen's Tears,Plant from Mitchell Park Domes collection. easily transplanted,
Billbergia pyramidalis 'Kyoto',Kyoto Flaming Torch,Plant from Mitchell Park Domes collection. easily transplanted,
Bosenbergia rotunda,"Fingerroot, Chinese Keys",,
Caladium 'Poison Dart Frog',Caladium,Plant from Mitchell Park Domes collection. goes dormant,
Caladium praetermissum 'Hilo Beauty',Spotted Elephant Ear,Plant from Mitchell Park Domes collection. potted,
Goeppertia bella,Zebra Plant,,
